Country,Year,Gender,Alcohol_consumption,Population
Iran,2010,Male,6.3,73763000
Iran,2010,Female,1.9,73763000
Niger,2010,Male,8.5,16464000
Niger,2010,Female,2.2,16464000
Nepal,2010,Male,12.1,27013000
Nepal,2010,Female,3.6,27013000
Egypt,2010,Male,8.6,82761000
Egypt,2010,Female,4.3,82761000
India,2010,Male,24.8,1234280960
India,2010,Female,4.8,1234280960
Malaysia,2010,Male,18.5,28208000
Malaysia,2010,Female,6.7,28208000
Bahrain,2010,Male,11.2,1241000
Bahrain,2010,Female,7.1,1241000
North Korea,2010,Male,30.8,24549000
North Korea,2010,Female,12.1,24549000
Kenya,2010,Male,32.3,42031000
Kenya,2010,Female,13.3,42031000
Congo,2010,Male,42.1,4274000
Congo,2010,Female,15.4,4274000
China,2010,Male,58.4,1368811008
China,2010,Female,28.9,1368811008
Namibia,2010,Male,49.2,2119000
Namibia,2010,Female,29.8,2119000
Fiji,2010,Male,51,860000
Fiji,2010,Female,31.5,860000
Singapore,2010,Male,67.4,5131000
Singapore,2010,Female,33.1,5131000
Colombia,2010,Male,59.9,45223000
Colombia,2010,Female,37.4,45223000
Brazil,2010,Male,69.3,195714000
Brazil,2010,Female,46.8,195714000
Argentina,2010,Male,70,40896000
Argentina,2010,Female,48.3,40896000
Malta,2010,Male,71,414000
Malta,2010,Female,50.3,414000
Greece,2010,Male,71.7,10888000
Greece,2010,Female,60.9,10888000
Japan,2010,Male,76.4,128542000
Japan,2010,Female,61.9,128542000
Russia,2010,Male,74.8,143479008
Russia,2010,Female,62,143479008
United States,2010,Male,75.2,309011008
United States,2010,Female,63,309011008
Canada,2010,Male,80.3,34148000
Canada,2010,Female,73.9,34148000
Austria,2010,Male,81,8410000
Austria,2010,Female,74,8410000
New Zealand,2010,Male,84.8,4370000
New Zealand,2010,Female,74.5,4370000
Germany,2010,Male,82.2,80827000
Germany,2010,Female,78.5,80827000
Norway,2010,Male,93.1,4886000
Norway,2010,Female,78.8,4886000
Australia,2010,Male,88,22155000
Australia,2010,Female,80.1,22155000
United Kingdom,2010,Male,87,63460000
United Kingdom,2010,Female,81,63460000
France,2010,Male,96.5,62880000
France,2010,Female,93.3,62880000
,,,,
,,,,
 ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
