Country,Year,Gender,Alcohol_consumption,Population
Afghanistan,2010,Male,4.9,29186000
Afghanistan,2010,Female,2.4,29186000
Albania,2010,Male,61.3,2948000
Albania,2010,Female,46.4,2948000
Algeria,2010,Male,13.5,35977000
Algeria,2010,Female,5,35977000
Andorra,2010,Male,73.4,84000
Andorra,2010,Female,63.3,84000
Angola,2010,Male,48,23356000
Angola,2010,Female,23.6,23356000
Antigua and Barbuda,2010,Male,73.1,88000
Antigua and Barbuda,2010,Female,60.4,88000
Argentina,2010,Male,70,40896000
Argentina,2010,Female,48.3,40896000
Armenia,2010,Male,84,2877000
Armenia,2010,Female,44,2877000
Australia,2010,Male,88,22155000
Australia,2010,Female,80.1,22155000
Austria,2010,Male,81,8410000
Austria,2010,Female,74,8410000
Azerbaijan,2010,Male,59.1,9032000
Azerbaijan,2010,Female,29.9,9032000
Bahamas,2010,Male,67.5,355000
Bahamas,2010,Female,43.4,355000
Bahrain,2010,Male,11.2,1241000
Bahrain,2010,Female,7.1,1241000
Bangladesh,2010,Male,3.5,147575008
Bangladesh,2010,Female,0.2,147575008
Barbados,2010,Male,74.9,282000
Barbados,2010,Female,62.4,282000
Belarus,2010,Male,89,9421000
Belarus,2010,Female,71,9421000
Belgium,2010,Male,84.4,10939000
Belgium,2010,Female,80.4,10939000
Belize,2010,Male,45.4,322000
Belize,2010,Female,12,322000
Benin,2010,Male,49,9199000
Benin,2010,Female,30,9199000
Bhutan,2010,Male,15.3,686000
Bhutan,2010,Female,4.2,686000
Bolivia,2010,Male,62.4,10049000
Bolivia,2010,Female,41.3,10049000
Bosnia and Herzegovina,2010,Male,68.9,3705000
Bosnia and Herzegovina,2010,Female,46.3,3705000
Botswana,2010,Male,56.4,1987000
Botswana,2010,Female,26.5,1987000
Brazil,2010,Male,69.3,195714000
Brazil,2010,Female,46.8,195714000
Brunei,2010,Male,22.9,389000
Brunei,2010,Female,17.9,389000
Bulgaria,2010,Male,73.7,7425000
Bulgaria,2010,Female,61.6,7425000
Burkina Faso,2010,Male,49.2,15605000
Burkina Faso,2010,Female,27.4,15605000
Burundi,2010,Male,52.5,8676000
Burundi,2010,Female,32.1,8676000
Cambodia,2010,Male,48.5,14312000
Cambodia,2010,Female,29.1,14312000
Cameroon,2010,Male,53.3,20341000
Cameroon,2010,Female,33.2,20341000
Canada,2010,Male,80.3,34148000
Canada,2010,Female,73.9,34148000
Cape Verde,2010,Male,48.7,493000
Cape Verde,2010,Female,28.9,493000
Central African Republic,2010,Male,30.9,4387000
Central African Republic,2010,Female,12.4,4387000
Chad,2010,Male,18.9,11952000
Chad,2010,Female,7.4,11952000
Chile,2010,Male,72.7,17063000
Chile,2010,Female,59.4,17063000
China,2010,Male,58.4,1368811008
China,2010,Female,28.9,1368811008
Colombia,2010,Male,59.9,45223000
Colombia,2010,Female,37.4,45223000
Comoros,2010,Male,17.3,690000
Comoros,2010,Female,6.6,690000
Congo,2010,Male,42.1,4274000
Congo,2010,Female,15.4,4274000
Cook Islands,2010,Male,55.8,18000
Cook Islands,2010,Female,34.1,18000
Costa Rica,2010,Male,62,4577000
Costa Rica,2010,Female,40.5,4577000
Cote d'Ivoire,2010,Male,35.6,20533000
Cote d'Ivoire,2010,Female,10.2,20533000
Croatia,2010,Male,91.8,4328000
Croatia,2010,Female,70.3,4328000
Cuba,2010,Male,71.7,11226000
Cuba,2010,Female,52.7,11226000
Cyprus,2010,Male,92.5,1113000
Cyprus,2010,Female,77.3,1113000
Czechia,2010,Male,91.7,10537000
Czechia,2010,Female,86.6,10537000
Democratic Republic of Congo,2010,Male,41.3,64564000
Democratic Republic of Congo,2010,Female,14.9,64564000
Denmark,2010,Male,92.3,5555000
Denmark,2010,Female,85,5555000
Djibouti,2010,Male,8.4,840000
Djibouti,2010,Female,3.2,840000
Dominica,2010,Male,70,71000
Dominica,2010,Female,48.5,71000
Dominican Republic,2010,Male,66.8,9695000
Dominican Republic,2010,Female,43.8,9695000
Ecuador,2010,Male,59,15011000
Ecuador,2010,Female,35.8,15011000
Egypt,2010,Male,8.6,82761000
Egypt,2010,Female,4.3,82761000
El Salvador,2010,Male,55.5,6184000
El Salvador,2010,Female,34.2,6184000
Equatorial Guinea,2010,Male,50.7,944000
Equatorial Guinea,2010,Female,28.3,944000
Eritrea,2010,Male,47.3,3170000
Eritrea,2010,Female,39.4,3170000
Estonia,2010,Male,70.7,1332000
Estonia,2010,Female,60.6,1332000
Eswatini,2010,Male,54.6,1065000
Eswatini,2010,Female,33.8,1065000
Ethiopia,2010,Male,20.6,87640000
Ethiopia,2010,Female,11,87640000
Fiji,2010,Male,51,860000
Fiji,2010,Female,31.5,860000
Finland,2010,Male,74.1,5366000
Finland,2010,Female,62.2,5366000
France,2010,Male,96.5,62880000
France,2010,Female,93.3,62880000
Gabon,2010,Male,52,1624000
Gabon,2010,Female,30.3,1624000
Gambia,2010,Male,16.1,1793000
Gambia,2010,Female,6.1,1793000
Georgia,2010,Male,56.2,4099000
Georgia,2010,Female,18.9,4099000
Germany,2010,Male,82.2,80827000
Germany,2010,Female,78.5,80827000
Ghana,2010,Male,33.1,24780000
Ghana,2010,Female,14,24780000
Greece,2010,Male,71.7,10888000
Greece,2010,Female,60.9,10888000
Grenada,2010,Male,60.1,106000
Grenada,2010,Female,37,106000
Guatemala,2010,Male,53.9,14630000
Guatemala,2010,Female,31.8,14630000
Guinea,2010,Male,12.5,10192000
Guinea,2010,Female,5,10192000
Guinea-Bissau,2010,Male,43.9,1523000
Guinea-Bissau,2010,Female,16.3,1523000
Guyana,2010,Male,70.2,749000
Guyana,2010,Female,49.2,749000
Haiti,2010,Male,67.6,9949000
Haiti,2010,Female,43.8,9949000
Honduras,2010,Male,59.1,8317000
Honduras,2010,Female,35.9,8317000
Hungary,2010,Male,85.4,9927000
Hungary,2010,Female,77.8,9927000
Iceland,2010,Male,73.8,320000
Iceland,2010,Female,61.9,320000
India,2010,Male,24.8,1234280960
India,2010,Female,4.8,1234280960
Indonesia,2010,Male,11.4,241834000
Indonesia,2010,Female,4.8,241834000
Iran,2010,Male,6.3,73763000
Iran,2010,Female,1.9,73763000
Iraq,2010,Male,7.2,29742000
Iraq,2010,Female,3.6,29742000
Ireland,2010,Male,85,4554000
Ireland,2010,Female,77,4554000
Israel,2010,Male,65.7,7346000
Israel,2010,Female,38.9,7346000
Italy,2010,Male,81.4,59325000
Italy,2010,Female,54.8,59325000
Jamaica,2010,Male,56.7,2810000
Jamaica,2010,Female,35.4,2810000
Japan,2010,Male,76.4,128542000
Japan,2010,Female,61.9,128542000
Jordan,2010,Male,7.1,7262000
Jordan,2010,Female,2.2,7262000
Kazakhstan,2010,Male,49.4,16252000
Kazakhstan,2010,Female,30.6,16252000
Kenya,2010,Male,32.3,42031000
Kenya,2010,Female,13.3,42031000
Kiribati,2010,Male,42.9,103000
Kiribati,2010,Female,19.1,103000
Kuwait,2010,Male,13.4,2992000
Kuwait,2010,Female,3.4,2992000
Kyrgyzstan,2010,Male,49.4,5422000
Kyrgyzstan,2010,Female,27.6,5422000
Laos,2010,Male,59.5,6249000
Laos,2010,Female,36.7,6249000
Latvia,2010,Male,74.2,2119000
Latvia,2010,Female,62.4,2119000
Lebanon,2010,Male,12.7,4953000
Lebanon,2010,Female,7.4,4953000
Lesotho,2010,Male,42,1996000
Lesotho,2010,Female,18.7,1996000
Liberia,2010,Male,41.6,3891000
Liberia,2010,Female,18.5,3891000
Libya,2010,Male,3.1,6198000
Libya,2010,Female,1.6,6198000
Lithuania,2010,Male,73.4,3124000
Lithuania,2010,Female,58.6,3124000
Luxembourg,2010,Male,95,508000
Luxembourg,2010,Female,92.9,508000
Madagascar,2010,Male,21.3,21152000
Madagascar,2010,Female,7.1,21152000
Malawi,2010,Male,28.3,14540000
Malawi,2010,Female,10.6,14540000
Malaysia,2010,Male,18.5,28208000
Malaysia,2010,Female,6.7,28208000
Maldives,2010,Male,14,366000
Maldives,2010,Female,3.9,366000
Mali,2010,Male,6,15049000
Mali,2010,Female,1.6,15049000
Malta,2010,Male,71,414000
Malta,2010,Female,50.3,414000
Mauritania,2010,Male,3,3494000
Mauritania,2010,Female,1.6,3494000
Mauritius,2010,Male,44.6,1248000
Mauritius,2010,Female,19.8,1248000
Mexico,2010,Male,68.9,114093000
Mexico,2010,Female,46.3,114093000
Micronesia (country),2010,Male,50.3,103000
Micronesia (country),2010,Female,30.9,103000
Moldova,2010,Male,73.1,4086000
Moldova,2010,Female,60.3,4086000
Mongolia,2010,Male,56.5,2720000
Mongolia,2010,Female,35.1,2720000
Montenegro,2010,Male,72.2,624000
Montenegro,2010,Female,58.5,624000
Morocco,2010,Male,8.3,32343000
Morocco,2010,Female,2.8,32343000
Mozambique,2010,Male,26.8,23532000
Mozambique,2010,Female,9.7,23532000
Myanmar,2010,Male,12.4,50601000
Myanmar,2010,Female,3.8,50601000
Namibia,2010,Male,49.2,2119000
Namibia,2010,Female,29.8,2119000
Nauru,2010,Male,41.4,10000
Nauru,2010,Female,14.7,10000
Nepal,2010,Male,12.1,27013000
Nepal,2010,Female,3.6,27013000
Netherlands,2010,Male,92.9,16683000
Netherlands,2010,Female,83.6,16683000
New Zealand,2010,Male,84.8,4370000
New Zealand,2010,Female,74.5,4370000
Nicaragua,2010,Male,60.7,5824000
Nicaragua,2010,Female,38.5,5824000
Niger,2010,Male,8.5,16464000
Niger,2010,Female,2.2,16464000
Nigeria,2010,Male,58.1,158503008
Nigeria,2010,Female,28.7,158503008
Niue,2010,Male,54.9,2000
Niue,2010,Female,32.9,2000
North Korea,2010,Male,30.8,24549000
North Korea,2010,Female,12.1,24549000
North Macedonia,2010,Male,68.7,2071000
North Macedonia,2010,Female,45.6,2071000
Norway,2010,Male,93.1,4886000
Norway,2010,Female,78.8,4886000
Oman,2010,Male,7.5,3041000
Oman,2010,Female,3.4,3041000
Pakistan,2010,Male,5.3,179424992
Pakistan,2010,Female,2.7,179424992
Palau,2010,Male,67.1,18000
Palau,2010,Female,42.7,18000
Panama,2010,Male,70.3,3643000
Panama,2010,Female,49.2,3643000
Papua New Guinea,2010,Male,46.6,7311000
Papua New Guinea,2010,Female,22.3,7311000
Paraguay,2010,Male,71.7,6248000
Paraguay,2010,Female,52,6248000
Peru,2010,Male,66.9,29028000
Peru,2010,Female,44,29028000
Philippines,2010,Male,55.3,93967000
Philippines,2010,Female,33.5,93967000
Poland,2010,Male,62.9,38330000
Poland,2010,Female,41.5,38330000
Portugal,2010,Male,69.1,10596000
Portugal,2010,Female,46,10596000
Qatar,2010,Male,7.5,1856000
Qatar,2010,Female,3.4,1856000
Romania,2010,Male,73.8,20472000
Romania,2010,Female,61.9,20472000
Russia,2010,Male,74.8,143479008
Russia,2010,Female,62,143479008
Rwanda,2010,Male,55.5,10039000
Rwanda,2010,Female,34.8,10039000
Saint Kitts and Nevis,2010,Male,54,49000
Saint Kitts and Nevis,2010,Female,31.5,49000
Saint Lucia,2010,Male,62.9,174000
Saint Lucia,2010,Female,42,174000
Saint Vincent and the Grenadines,2010,Male,67.8,108000
Saint Vincent and the Grenadines,2010,Female,43.7,108000
Samoa,2010,Male,55.4,186000
Samoa,2010,Female,34.5,186000
Sao Tome and Principe,2010,Male,49.4,180000
Sao Tome and Principe,2010,Female,27.4,180000
Saudi Arabia,2010,Male,7.5,27421000
Saudi Arabia,2010,Female,3.4,27421000
Senegal,2010,Male,9.8,12678000
Senegal,2010,Female,1.5,12678000
Serbia,2010,Male,72.8,8991000
