country,year,beer,wine,spirits
Australia,1961,6.36,0.88,1.19
Australia,1962,6.44,0.91,1.16
Australia,1963,7.52,0.96,1.26
Australia,1964,7.72,0.97,1.36
Australia,1965,7.69,1.05,1.19
Australia,1966,7.84,1.17,1.19
Australia,1967,8.1,1.3,1.32
Australia,1968,8.33,1.4,1.3
Australia,1969,8.51,1.52,1.45
Australia,1970,8.64,1.49,1.49
Australia,1971,8.64,1.51,1.54
Australia,1972,8.81,1.66,1.74
Australia,1973,9.57,1.87,1.76
Australia,1974,9.7,2.08,1.68
Australia,1975,9.42,2.18,1.61
Australia,1976,9.38,2.27,1.76
Australia,1977,9.35,2.36,1.83
Australia,1978,8.99,2.7,1.47
Australia,1979,9.02,2.83,1.38
Australia,1980,8.82,2.98,1.5
Australia,1981,8.76,3.12,1.58
Australia,1982,8.26,3.21,1.59
Australia,1983,7.95,3.3,1.51
Australia,1984,7.69,3.43,1.61
Australia,1985,7.73,3.47,1.7
Australia,1986,7.39,3.34,1.57
Australia,1987,7.5,3.31,1.65
Australia,1988,7.62,3.06,1.7
Australia,1989,7.49,2.92,1.68
Australia,1990,7.08,2.75,1.18
Australia,1991,6.65,2.87,1.12
Australia,1992,6.35,2.8,1.17
Australia,1993,5.48,2.67,1.48
Australia,1994,5.46,2.7,1.73
Australia,1995,5.39,2.66,1.63
Australia,1996,5.32,2.74,1.7
Australia,1997,5.24,2.86,1.81
Australia,1998,5.15,2.87,1.77
Australia,1999,5.06,2.94,1.88
Australia,2000,5.07,2.95,2.07
Australia,2001,4.08,2.91,1.81
Australia,2002,4.97,3.01,1.86
Australia,2003,4.96,3,2.01
Australia,2004,4.57,3.13,1.2
Australia,2005,4.62,3.53,1.21
Australia,2006,4.63,3.53,1.16
Australia,2007,4.63,3.7,1.15
Australia,2008,4.69,3.71,1.19
Australia,2009,4.68,3.78,1.32
Australia,2010,4.51,3.87,1.3
Australia,2011,4.31,3.79,1.34
Australia,2012,4.14,3.78,1.26
Australia,2013,4.04,3.7,1.29
Australia,2014,4.01,3.64,1.23
