Country,Alcohol_consumption,GDP,Population,Continent
Afghanistan,0.21,2033.804389,37171922,Asia
Albania,7.17,13323.75336,2882735,Europe
Algeria,0.95,11642.19835,42228415,Africa
Andorra,11.02,5705.404591,77008,Europe
Angola,6.94,6933.499934,30809787,Africa
Antigua and Barbuda,6.38,21030.39507,96282,North America
Argentina,9.65,22759.39856,44361150,South America
Armenia,5.55,12715.10895,2951741,Asia
Australia,10.51,49151.68871,24898153,Oceania
Austria,11.96,55297.61829,8891383,Europe
Azerbaijan,4.41,14209.64941,9949537,Asia
Bahamas,4.78,37019.99505,385635,North America
Bahrain,1.09,46200.44558,1569440,Asia
Bangladesh,0.019,4440.85547,161376713,Asia
Barbados,9.69,15674.90432,286640,North America
Belarus,11.45,18885.2355,9452615,Europe
Belize,6.22,7261.870287,383071,North America
Benin,2.81,3160.78067,11485035,Africa
Bermuda,2.77,81422.1346,62763,North America
Bhutan,0.43,11348.44195,754396,Asia
Bolivia,4.43,8655.531498,11353140,South America
Bosnia and Herzegovina,7.15,14386.73185,3323929,Europe
Botswana,6.59,17634.65619,2254067,Africa
Brazil,7.42,14668.25616,209469320,South America
Brunei,0.48,60389.18465,428960,Asia
Bulgaria,12.65,22208.45228,7051610,Europe
Burkina Faso,12.03,2120.330268,19751466,Africa
Burundi,7.19,761.5241252,11175379,Africa
Cambodia,6.64,4159.338194,16249795,Asia
Cameroon,5.65,3603.548275,25216261,Africa
Canada,8.94,48796.81378,37074558,North America
Cape Verde,5.6,6864.185298,543764,Africa
Cayman Islands,3.98,71784.04808,64172,North America
Central African Republic,2.38,933.1099506,4666375,Africa
Chad,1.37,1576.321115,15477727,Africa
Chile,9.07,25028.90999,18729166,South America
China,7.05,15242.98586,1427647789,Asia
Colombia,5.74,14314.85558,49661056,South America
Comoros,0.69,3066.837847,832322,Africa
Congo,9.27,3933.425551,5244363,Africa
Costa Rica,4.87,20559.86043,4999443,North America
Cote d'Ivoire,2.71,5033.478826,25069226,Africa
Croatia,9.23,27799.84332,4156407,Europe
Cuba,5.83,29227.07658,11338146,North America
Curacao,10.36,25054.89523,162753,North America
Cyprus,10.81,39559.48796,1189262,Europe
