Country,alcohol_consumption,Population
Afghanistan,0.21,38928341
Angola,6.94,2877800
Albania,7.17,43851043
Andorra,11.02,77265
United Arab Emirates,3.9,32866268
Argentina,9.65,97928
Armenia,5.55,45195777
Antigua and Barbuda,6.38,2963234
Australia,10.51,25499881
Austria,11.96,9006400
Azerbaijan,4.41,10139175
Burundi,7.19,393248
Belgium,11.08,1701583
Benin,2.81,164689383
Burkina Faso,12.03,287371
Bangladesh,0.019,9449321
Bulgaria,12.65,11589616
Bahrain,1.09,397621
"Bahamas, The",4.78,12123198
Bosnia and Herzegovina,7.15,771612
Belarus,11.45,11673029
Belize,6.22,3280815
Bolivia,4.43,2351625
Brazil,7.42,212559409
Barbados,9.69,437479
Brunei Darussalam,0.48,6948445
Bhutan,0.43,20903278
Botswana,6.59,54409800
Central African Republic,2.38,11890781
Canada,8.94,548800
Switzerland,11.53,16718971
Chile,9.07,26545864
China,7.05,37742157
Cote d'Ivoire,2.71,4829764
Cameroon,5.65,16425859
"Congo, Dem. Rep.",2,19116209
"Congo, Rep.",9.27,1439323774
Colombia,5.74,50882884
Comoros,0.69,869595
Cabo Verde,5.6,5518092
Costa Rica,4.87,5094114
Cuba,5.83,25070000
Cyprus,10.81,4105268
Czech Republic,14.45,11326616
Germany,12.91,875899
Djibouti,0.43,10708982
Dominica,11.18,5792203
Denmark,10.26,988002
Dominican Republic,6.68,71991
Algeria,0.95,10847904
Ecuador,4.2,17643060
"Egypt, Arab Rep.",0.36,102334403
Eritrea,1.44,6486201
Spain,12.72,1402985
Estonia,9.23,3546427
Ethiopia,2.36,1326539
Finland,10.78,1160164
Fiji,3.32,114963583
France,12.33,896444
"Micronesia, Fed. Sts.",2.48,5540718
Gabon,8.74,65273512
United Kingdom,11.45,2225728
Georgia,8.25,2416664
Ghana,2.75,3989175
Guinea,1.11,83783945
"Gambia, The",3.55,31072945
Guinea-Bissau,5.38,10423056
Equatorial Guinea,7.23,112519
Greece,10.18,17915567
Grenada,9.48,13132792
Guatemala,2.45,1874000
Guyana,6.89,786559
Honduras,3.76,11402533
Croatia,9.23,809
Haiti,2.73,9904608
Hungary,11.35,9660350
Indonesia,0.57,341250
India,5.54,1380004385
Ireland,12.88,273523621
"Iran, Islamic Rep.",1.03,83992953
Iraq,0.39,40222503
Iceland,9.12,4937796
Israel,4.21,8655541
Italy,7.84,60461828
Jamaica,4.22,2961161
Jordan,0.69,126476458
Japan,7.96,10203140
Kazakhstan,4.76,18776707
Kenya,2.78,53771300
Kyrgyz Republic,6.26,51640000
Cambodia,6.64,1932774
Kiribati,0.46,4270563
St. Kitts and Nevis,8.94,6524191
"Korea, Rep.",9.7,7275556
Kuwait,0.003,1886202
Lao PDR,10.72,6825442
Lebanon,1.71,2142252
Liberia,6.12,5057677
Libya,0.019,6871287
St. Lucia,10.6,38137
Sri Lanka,4.1,2722291
Lesotho,4.59,625976
Lithuania,13.22,27691019
Luxembourg,12.94,19129955
Latvia,12.77,32365998
Morocco,0.69,540542
Moldova,11.43,20250834
Madagascar,1.97,441539
Maldives,2.22,4649660
Mexico,5,1271767
North Macedonia,6.16,128932753
Mali,1.28,4033963
Malta,7.99,39244
Myanmar,5.12,3278292
Montenegro,11.47,628062
Mongolia,8.19,36910558
Mozambique,2.3,31255435
Mauritania,0.036,2540916
Mauritius,4.35,29136808
Malawi,3.63,17134873
Malaysia,0.85,4822233
Namibia,5.43,6624554
Niger,0.67,24206636
Nigeria,10.84,206139587
Nicaragua,5.18,2083380
Netherlands,9.61,5421242
Norway,7.41,5106622
Nepal,2.05,220892331
Nauru,3.71,4314768
New Zealand,10.63,8947027
Oman,0.78,7132530
Pakistan,0.34,32971846
Panama,7.98,109581085
Peru,6.38,37846605
Philippines,6.86,10196707
Papua New Guinea,1.39,2881060
Poland,11.71,19237682
"Korea, Dem. People's Rep.",3.8,145934460
Portugal,12.03,12952209
Paraguay,7.58,53192
French Polynesia,,183629
Qatar,1.59,110947
Romania,11.74,33938
Russian Federation,11.19,219161
Rwanda,8.95,34813867
Saudi Arabia,0.19,16743930
Sudan,0.51,6804596
Senegal,0.76,98340
Singapore,2.03,7976985
Solomon Islands,1.83,5850343
Sierra Leone,5.7,5459643
El Salvador,3.89,2078932
Somalia,0.009,15893219
Serbia,8.75,59308690
Sao Tome and Principe,5.88,11193729
Suriname,5.33,46754783
Slovak Republic,11.14,21413250
Slovenia,11.9,43849269
Sweden,8.93,586634
Eswatini,10.04,10099270
Seychelles,20.5,8654618
Syrian Arab Republic,0.24,17500657
Chad,1.37,23816775
Togo,2.46,9537642
Thailand,8.3,56320000
Tajikistan,3.28,69799978
Turkmenistan,4.93,1268000
Timor-Leste,2.17,8278737
Tonga,0.8,1399491
Trinidad and Tobago,6.72,11818618
Tunisia,2.12,84339067
Turkey,2.05,45741000
Tuvalu,1.52,43733759
Tanzania,11.27,9890400
Uganda,15.09,67886004
Ukraine,8.32,3473727
Uruguay,6.92,331002647
United States,9.87,33469199
Uzbekistan,2.59,28435943
St. Vincent and the Grenadines,9.06,97338583
"Venezuela, RB",4.14,4430000
Vietnam,8.66,597330
Vanuatu,2.25,29825968
Samoa,2.66,18383956
"Yemen, Rep.",0.051,14862927
Zambia,6.54,38928341
Zimbabwe,4.67,2877800
